FREQ,Frequency,DER_TYPE,Measure,DER_INSTR,Instrument,DER_RISK,Risk category,DER_REP_CTY,Reporting country,DER_SECTOR_CPY,Counterparty sector,DER_CPC,Counterparty country,DER_SECTOR_UDL,Underlying risk sector,DER_CURR_LEG1,Currency leg 1,DER_CURR_LEG2,Currency leg 2,DER_ISSUE_MAT,Maturity,DER_RATING,Rating (outstanding) or settlement (FX turnover),DER_EX_METHOD,Execution method,DER_BASIS,Basis,TIME_FORMAT,Time Format,AVAILABILITY,Availability,COLLECTION,Collection Indicator,TITLE_TS,Series,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
A,Annual,U,Turnover - notional amounts (daily average),A,Total (all instruments),D,Interest rate,CA,Canada,A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),TO1,Total (all currencies),MYR,Malaysian ringgit,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:A:D:CA:A:5J:A:TO1:MYR:A:A:3:B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.966085,,,
A,Annual,U,Turnover - notional amounts (daily average),H,FX swaps,B,Foreign exchange,5J,All countries (total),A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),JPY,Yen,AUD,Australian dollar,4,Over 1 day and less than 7 days,A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:H:B:5J:A:5J:A:JPY:AUD:4:A:3:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3476.095947
A,Annual,U,Turnover - notional amounts (daily average),E,Outright forwards,B,Foreign exchange,5J,All countries (total),A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),TO1,Total (all currencies),HKD,Hong Kong dollar,4,Over 1 day and less than 7 days,A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:E:B:5J:A:5J:A:TO1:HKD:4:A:3:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4551.079854
A,Annual,U,Turnover - notional amounts (daily average),A,Total (all instruments),D,Interest rate,AT,Austria,A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),TO1,Total (all currencies),CAD,Canadian dollar,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:A:D:AT:A:5J:A:TO1:CAD:A:A:3:B,,,,,,,,,,,,,4.1,,,,,,4.865846,,,22.4,,,13.887775,,,,,,,,,,,,
A,Annual,U,Turnover - notional amounts (daily average),K,Overnight indexed swaps,D,Interest rate,NL,Netherlands,A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),GBP,Pound (sterling),TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:K:D:NL:A:5J:A:GBP:TO1:A:A:3:B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.572483,,,225.884443
A,Annual,U,Turnover - notional amounts (daily average),8,Other interest rate swaps,D,Interest rate,5J,All countries (total),A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),TO1,Total (all currencies),ILS,New shekel,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:8:D:5J:A:5J:A:TO1:ILS:A:A:3:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736.760605,,,2856.178208
A,Annual,U,Turnover - notional amounts (daily average),B,Spot,B,Foreign exchange,SI,Slovenia,U,Non-financial customers,1E,Residents/Local,A,Total (all sectors),TO1,Total (all currencies),TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:B:B:SI:U:1E:A:TO1:TO1:A:A:3:B,,,,,,,,,,,,,,,,62.473684,,,60.75,,,15.666666,,,,,,,,,,,,,,,
A,Annual,U,Turnover - notional amounts (daily average),H,FX swaps,B,Foreign exchange,5J,All countries (total),A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),JPY,Yen,BRL,Brazilian real,J,Over 1 month and up to 3 months,A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:H:B:5J:A:5J:A:JPY:BRL:J:A:3:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.690234
A,Annual,U,Turnover - notional amounts (daily average),M,Forward rate agreements,D,Interest rate,GB,United Kingdom,A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),TO1,Total (all currencies),BRL,Brazilian real,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:M:D:GB:A:5J:A:TO1:BRL:A:A:3:B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.25,,,
A,Annual,U,Turnover - notional amounts (daily average),H,FX swaps,B,Foreign exchange,KR,Korea,A,Total (all counterparties),5J,All countries (total),A,Total (all sectors),DKK,Danish krone,EUR,Euro,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:H:B:KR:A:5J:A:DKK:EUR:A:A:3:B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.310616
