FREQ,Frequency,DER_TYPE,Measure,DER_INSTR,Instrument,DER_RISK,Risk category,DER_REP_CTY,Reporting country,DER_SECTOR_CPY,Counterparty sector,DER_CPC,Counterparty country,DER_SECTOR_UDL,Underlying risk sector,DER_CURR_LEG1,Currency leg 1,DER_CURR_LEG2,Currency leg 2,DER_ISSUE_MAT,Maturity,DER_RATING,Rating (outstanding) or settlement (FX turnover),DER_EX_METHOD,Execution method,DER_BASIS,Basis,TIME_FORMAT,Time Format,AVAILABILITY,Availability,COLLECTION,Collection Indicator,TITLE_TS,Series,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
A,Annual,U,Turnover - notional amounts (daily average),A,Total (all instruments),B,Foreign exchange,PH,Philippines,B,Reporting dealers,5Z,Non-residents/Cross-border,A,Total (all sectors),TO1,Total (all currencies),TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:A:B:PH:B:5Z:A:TO1:TO1:A:A:3:B,,,,,,,,,,,,,281.8,,,117.722222,,,165.526315,,,338.0,,,1491.210526,,,1017.129078,,,743.238095,,,1056.608231,,,864.152417
A,Annual,U,Turnover - notional amounts (daily average),M,Forward rate agreements,D,Interest rate,DK,Denmark,C,Other financial institutions,5Z,Non-residents/Cross-border,A,Total (all sectors),TO1,Total (all currencies),TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:M:D:DK:C:5Z:A:TO1:TO1:A:A:3:B,,,,,,,,,,19.882352,,,590.631578,,,548.888888,,,408.789473,,,375.5,,,1214.528765,,,14154.338066,,,2483.422568,,,988.381415,,,1206.354435
A,Annual,U,Turnover - notional amounts (daily average),R,Options,B,Foreign exchange,5J,All countries (total),B,Reporting dealers,5Z,Non-residents/Cross-border,A,Total (all sectors),CAD,Canadian dollar,JPY,Yen,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:R:B:5J:B:5Z:A:CAD:JPY:A:A:3:C,,,,,,,,,,9.23421,,,4.595238,,,2.3,,,15.714285,,,30.625,,,7.476189,,,67.588502,,,56.045545,,,171.060305,,,110.562828
A,Annual,U,Turnover - notional amounts (daily average),M,Forward rate agreements,D,Interest rate,5J,All countries (total),C,Other financial institutions,5Z,Non-residents/Cross-border,A,Total (all sectors),TO1,Total (all currencies),MXN,Mexican peso,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:M:D:5J:C:5Z:A:TO1:MXN:A:A:3:C,,,,,,,,,,,,,,,,,,,139.145238,,,,,,,,,6.0,,,,,,8.35,,,
A,Annual,U,Turnover - notional amounts (daily average),T,Options bought,B,Foreign exchange,5J,All countries (total),B,Reporting dealers,5Z,Non-residents/Cross-border,A,Total (all sectors),EUR,Euro,PLN,Zloty,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),A,Gross - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:T:B:5J:B:5Z:A:EUR:PLN:A:A:3:A,,,,,,,,,,,,,,,,,,,20.142857,,,21.45,,,31.333333,,,189.793731,,,120.985828,,,,,,
A,Annual,U,Turnover - notional amounts (daily average),S,Options sold,D,Interest rate,5J,All countries (total),A,Total (all counterparties),5Z,Non-residents/Cross-border,A,Total (all sectors),TO1,Total (all currencies),TRY,Turkish lira,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),A,Gross - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:S:D:5J:A:5Z:A:TO1:TRY:A:A:3:A,,,,,,,,,,,,,,,,,,,,,,24.7,,,2.0,,,69.894206,,,5.714285,,,,,,
A,Annual,U,Turnover - notional amounts (daily average),A,Total (all instruments),B,Foreign exchange,5J,All countries (total),C,Other financial institutions,5Z,Non-residents/Cross-border,A,Total (all sectors),USD,US dollar,TWD,New Taiwan dollar,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:A:B:5J:C:5Z:A:USD:TWD:A:A:3:C,,,,,,,,,,,,,1.095238,,,67.9,,,33.636362,,,81.65,,,217.047619,,,4426.584226,,,8527.594372,,,16971.840597,,,28638.128331
A,Annual,U,Turnover - notional amounts (daily average),B,Spot,B,Foreign exchange,5J,All countries (total),C,Other financial institutions,5Z,Non-residents/Cross-border,A,Total (all sectors),TO1,Total (all currencies),NOK,Norwegian krone,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:B:B:5J:C:5Z:A:TO1:NOK:A:A:3:C,,,,,,,51.102631,,,42.294117,,,2.263157,,,367.26549,,,1112.509847,,,2810.015359,,,4814.356123,,,6469.400783,,,12687.123166,,,12459.453762,,,10841.018979
A,Annual,U,Turnover - notional amounts (daily average),R,Options,B,Foreign exchange,SK,Slovakia,U,Non-financial customers,5Z,Non-residents/Cross-border,A,Total (all sectors),TO1,Total (all currencies),TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),B,Net - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:R:B:SK:U:5Z:A:TO1:TO1:A:A:3:B,,,,,,,,,,,,,,,,,,,,,,,,,0.068483,,,0.087062,,,2.157283,,,7.909808,,,1.181451
A,Annual,U,Turnover - notional amounts (daily average),8,Other interest rate swaps,D,Interest rate,5J,All countries (total),C,Other financial institutions,5Z,Non-residents/Cross-border,A,Total (all sectors),TO1,Total (all currencies),SGD,Singapore dollar,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:8:D:5J:C:5Z:A:TO1:SGD:A:A:3:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6201.129943,,,2391.577962
A,Annual,U,Turnover - notional amounts (daily average),T,Options bought,B,Foreign exchange,5J,All countries (total),B,Reporting dealers,5Z,Non-residents/Cross-border,A,Total (all sectors),AUD,Australian dollar,JPY,Yen,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),A,Gross - gross,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:T:B:5J:B:5Z:A:AUD:JPY:A:A:3:A,,,,,,,,,,23.972317,,,21.757238,,,33.464705,,,62.351729,,,219.235805,,,546.155766,,,1376.895424,,,476.77127,,,,,,
A,Annual,U,Turnover - notional amounts (daily average),A,Total (all instruments),D,Interest rate,5J,All countries (total),A,Total (all counterparties),5Z,Non-residents/Cross-border,A,Total (all sectors),KRW,Won,TO1,Total (all currencies),A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:A:D:5J:A:5Z:A:KRW:TO1:A:A:3:C,,,,,,,,,,,,,,,,5.65,,,51.4,,,2503.556137,,,10402.706146,,,7769.566479,,,10610.841157,,,18312.04501,,,41999.010052
A,Annual,U,Turnover - notional amounts (daily average),B,Spot,B,Foreign exchange,5J,All countries (total),U,Non-financial customers,5Z,Non-residents/Cross-border,A,Total (all sectors),TO1,Total (all currencies),TWD,New Taiwan dollar,A,Total (all maturities),A,Total (all ratings),3,Total (all methods),C,Net - net,,,K,"Free, last value not to be published prior to embargo date",S,Summed through period,,A:U:B:B:5J:U:5Z:A:TO1:TWD:A:A:3:C,,,,,,,,,,,,,,,,47.355263,,,120.961743,,,276.01817,,,547.679019,,,114.809989,,,172.152573,,,277.498342,,,371.812177
